Drone ID,Application,Drone Size,Drone Model,Manufacturer,Propeller Count,Max Carry Weight (kg),Actual Carry Weight (kg),Payload Type,Payload Description,Altitude (meters),Flight Duration (minutes),Distance Flown (km),Operator ID,Flight Date,Battery Remaining (%),GPS Accuracy (meters),Wind Speed (m/s),Obstacles Encountered,Flight Status,Regulatory Approval ID,Notes
D001,Package Delivery,Medium,FlyHigh 300,AeroCorp,4,5,2.5,Package,"Small consumer goods",50,25,8,OP001,2025-03-20,85,2.1,3.5,No,Completed,REG-2025-ABC-123,"Urban delivery, light package, good weather"
D002,Infrastructure Inspection,Large,Inspecta X,SkyView Inc.,6,15,8,"Camera, Sensor","High-resolution camera, thermal sensor",120,45,15,OP002,2025-03-21,68,1.8,6.2,Yes,Completed,REG-2025-DEF-456,"Bridge inspection, carried specialized equipment"
D003,Agricultural Spraying,Large,CropMaster,AgriDrones,8,20,18,"Liquid Tank",Pesticide solution,30,30,10,OP003,2025-03-22,40,3.5,7.8,Yes,Completed,REG-2025-GHI-789,"Field spraying, full tank, moderate wind"
D004,Aerial Photography,Small,SnapShot Mini,PhotoFly,4,1,0.5,Camera,"Lightweight action camera",80,20,5,OP004,2025-03-23,92,1.2,2.1,No,Completed,REG-2025-JKL-012,"Recreational use, clear skies"
D005,Surveillance,Medium,Watcher Pro,SecureTech,4,7,3,"Camera, Sensor","Infrared camera, motion detection sensor",100,60,12,OP005,2025-03-24,55,2.5,4.9,No,Completed,REG-2025-MNO-345,"Security patrol, nighttime operation"
D006,Surveying,Medium,MapMaker Z,GeoSurv,6,10,6,"LiDAR System","Light Detection and Ranging system",70,35,9,OP006,2025-03-25,78,1.5,3.1,No,Completed,REG-2025-PQR-678,"Land mapping, precise data collection"
D007,Search and Rescue,Large,Guardian SR,RescueFly,8,12,5,"Camera, Beacon","Thermal camera, emergency locator beacon",150,50,18,OP007,2025-03-26,62,2.8,5.5,Yes,Completed,REG-2025-STU-901,"Searching for missing person in forested area"
D008,Film Production,Large,CineDrone X,FilmCraft,8,18,10,Camera,"Professional cinema camera with gimbal",60,40,7,OP008,2025-03-27,70,2,4.2,No,Completed,REG-2025-VWX-234,"Filming aerial shots for a movie"
D009,Environmental Monitoring,Small,AirProbe 1,EnviroTech,4,2,1.2,Sensor,"Air quality sampling device",40,28,6,OP009,2025-03-28,88,1.1,2.7,No,Completed,REG-2025-YZA-567,"Collecting air pollution data over urban area"
D010,Warehouse Inventory,Small,StockChecker,InventoryAI,4,3,1.5,Scanner,"Barcode and RFID scanner",15,30,4,OP010,2025-03-29,75,0.9,1.5,No,Completed,REG-2025-BCD-890,"Indoor inventory management"
D011,Package Delivery,Small,SwiftWing,DeliveryNow,4,2,1,Package,"Small documents",60,18,5,OP011,2025-03-19,95,1.3,2.9,No,Completed,REG-2025-EFG-123,"Express document delivery"
D012,Bridge Inspection,Medium,ViewMax 500,Inspecta X,4,8,4.5,Camera,"High-definition camera",90,38,12,OP002,2025-03-18,60,2.2,5.8,Yes,Completed,REG-2025-HIJ-456,"Routine bridge structure assessment"
D013,Crop Monitoring,Small,Agri Scout,AgriDrones,4,1.5,0.8,Camera,"Multispectral camera for plant health analysis",45,22,7,OP003,2025-03-17,80,1,3.3,No,Completed,REG-2025-KLM-789,"Assessing crop health in a small farm"
D014,Real Estate Photography,Small,SkyLens,PhotoFly,4,1.2,0.6,Camera,"Wide-angle camera for property showcasing",75,25,4,OP004,2025-03-16,88,1.6,2.5,No,Completed,REG-2025-NOP-012,"Taking aerial photos of a residential property"
D015,Power Line Inspection,Medium,VoltGuard,SkyView Inc.,6,9,5,"Camera, Sensor","Corona discharge camera, infrared thermometer",110,55,16,OP002,2025-03-15,50,2.9,7.1,Yes,Completed,REG-2025-QRS-345,"Inspecting high-voltage power lines"
D016,Traffic Monitoring,Medium,TrafficEye,SecureTech,4,6,2.8,Camera,"Real-time video camera for traffic analysis",85,40,10,OP005,2025-03-14,72,1.9,4.5,No,Completed,REG-2025-TUV-678,"Monitoring traffic flow on a major highway"
D017,Wind Turbine Inspection,Large,BladeChecker,AeroCorp,6,16,9,Camera,"High-resolution camera for blade damage assessment",160,65,20,OP002,2025-03-13,45,3.2,8.5,Yes,Completed,REG-2025-WXY-901,"Inspecting wind turbine blades"
D018,Construction Site Survey,Medium,SiteScan,GeoSurv,6,11,7.5,"Camera, GPS","High-resolution camera, GPS for site mapping",55,30,8,OP006,2025-03-12,81,1.4,2.8,No,Completed,REG-2025-ZAB-234,"Surveying progress on a construction project"
D019,Event Coverage,Small,EventFlyer,PhotoFly,4,1.8,1,Camera,"Compact camera for capturing event footage",95,32,6,OP004,2025-03-11,90,1.7,3.9,No,Completed,REG-2025-CDE-567,"Recording an outdoor music festival"
